name,tag,description
atool,PACMAN,"A script for managing file archives of various types"
blueman,PACMAN,"GTK+ Bluetooth Manager"
bluez,PACMAN,"Daemons for the bluetooth protocol stack"
bluez-utils,PACMAN,"Development and debugging utilities for the bluetooth protocol stack"
btop,PACMAN,"A monitor of system resources, bpytop ported to C++"
clang,PACMAN,"C language family frontend for LLVM"
cmake,PACMAN,"A cross-platform open-source make system"
drawio-desktop,AUR,"Diagram drawing application built on web technology"
dunst,PACMAN,"Customizable and lightweight notification-daemon"
erdtree,PACMAN,"multi-threaded file-tree visualizer and disk usage analyzer"
fcron,PACMAN,"Feature-rich cron implementation"
fd,PACMAN,"Simple, fast and user-friendly alternative to find"
ffmpeg,PACMAN,"Complete solution to record, convert and stream audio and video"
firefox,PACMAN,"Standalone web browser from mozilla.org"
font-manager,PACMAN,"A simple font management application for GTK+ Desktop Environments"
fzf,PACMAN,"Command-line fuzzy finder"
gcc,PACMAN,"The GNU Compiler Collection - C and C++ frontends"
git,PACMAN,"the fast distributed version control system"
git-credential-manager-core,AUR,"A secure Git credential helper built on .NET that runs on Windows, macOS, and Linux"
gnome-keyring,PACMAN,"Stores passwords and encryption keys"
go,PACMAN,"Core compiler tools for the Go programming language"
grim,PACMAN,"Screenshot utility for Wayland"
htop,PACMAN,"Interactive process viewer"
hyprland,PACMAN,"a highly customizable dynamic tiling Wayland compositor"
hyprlock,PACMAN,"hyprland’s GPU-accelerated screen locking utility"
hyprpaper,PACMAN,"a blazing fast wayland wallpaper utility with IPC controls"
imagemagick,PACMAN,"An image viewing/manipulation program"
imv,PACMAN,"Image viewer for Wayland and X11"
jq,PACMAN,"Command-line JSON processor"
kitty,PACMAN,"A modern, hackable, featureful, OpenGL-based terminal emulator"
libreoffice-still,PACMAN,"LibreOffice maintenance branch"
lld,PACMAN,"Linker from the LLVM project"
lxappearance,PACMAN,"Feature-rich GTK+ theme switcher of the LXDE Desktop"
lynx,PACMAN,"A text browser for the World Wide Web"
macchina-bin,AUR,"A system information fetcher/frontend, with an (unhealthy) emphasis on performance"
man-db,PACMAN,"A utility for reading man pages"
mpv,PACMAN,"a free, open source, and cross-platform media player"
neovim,PACMAN,"Fork of Vim aiming to improve user experience, plugins, and GUIs"
network-manager-applet,PACMAN,"Applet for managing network connections"
newsboat,PACMAN,"RSS/Atom feed reader for text terminals"
nnn-nerd,AUR,"The fastest terminal file manager ever written (with icon support using a patched nerd font)."
nodejs,PACMAN,"Evented I/O for V8 javascript"
noto-fonts-cjk,PACMAN,"Google Noto CJK fonts"
noto-fonts-emoji,PACMAN,"Google Noto emoji fonts"
npm,PACMAN,"A package manager for javascript"
prettier,PACMAN,"An opinionated code formatter for JS, JSON, CSS, YAML and much more"
pyenv,PACMAN,"Easily switch between multiple versions of Python"
python-isort,PACMAN,"A Python utility / library to sort Python imports"
ripgrep,PACMAN,"A search tool that combines the usability of ag with the raw speed of grep"
rofi-wayland,PACMAN,"A window switcher, run dialog and dmenu replacement - fork with wayland support"
ruff,PACMAN,"An extremely fast Python linter, written in Rust"
rustup,PACMAN,"The Rust toolchain installer"
shellcheck,PACMAN,"Shell script analysis tool"
shfmt,PACMAN,"Format shell programs"
signal-desktop,PACMAN,"Signal Private Messenger for Linux"
slurp,PACMAN,"Select a region in a Wayland compositor"
stylua,PACMAN,"Code formatter for Lua"
swappy,PACMAN,"A Wayland native snapshot editing tool"
thunar,PACMAN,"Modern, fast and easy-to-use file manager for Xfce"
tokei,PACMAN,"A blazingly fast CLOC (Count Lines Of Code) program"
trash-cli,PACMAN,"Command line trashcan (recycle bin) interface"
ttf-dejavu,PACMAN,"Font family based on the Bitstream Vera Fonts with a wider range of characters"
ttf-nerd-fonts-symbols,PACMAN,"High number of extra glyphs from popular 'iconic fonts'"
v4l2loopback-utils,PACMAN,"v4l2-loopback device – utilities only"
watchexec,PACMAN,"Executes commands in response to file modifications"
waybar,PACMAN,"Highly customizable Wayland bar for Sway and Wlroots based compositors"
wget,PACMAN,"Network utility to retrieve files from the Web"
xdg-ninja,AUR,"A shell script which checks your $HOME for unwanted files and directories."
zathura,PACMAN,"Minimalistic document viewer"
zathura-pdf-mupdf,PACMAN,"PDF support for Zathura (MuPDF backend) (Supports PDF, ePub, and OpenXPS)"
zola,PACMAN,"An opinionated static site generator"
zsh,PACMAN,"A very advanced and programmable command interpreter (shell) for UNIX"
